tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2018-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Jati Baru,Cideng,Gambir, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Swasembada Barat 23,Kebon Bawang,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2018-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Mampang Jaya Poncol,Kuningan Barat,Mampang Prapatan, Kota Administrasi Jakarta Selatan,24,1500000000,,
2018-01-01,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl. Bukit Duri Selatan,Bukit Duri,Tebet, Kota Administrasi Jakarta Selatan,0,1152000000,,
2018-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Pademangan III Gg 17,Pademangan Timur,Pademangan, Kota Administrasi Jakarta Utara,0,500000,,
2018-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kebon 200 ( Titik Kenal SMP 224 ),Kamal,Kalideres, Kota Administrasi Jakarta Barat,0,200000000,,
2018-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Harapan II,Cipinang Melayu,Makasar, Kota Administrasi Jakarta Timur,0,2000000,,
2018-01-01,Penyelamatan,Bencana penanganan B3 (operasi penyelamatan B3),Masyarakat Datang,Jl. Bekasi Timur I No.1,Rawa Bunga,Jatinegara, Kota Administrasi Jakarta Timur,0,0,,
2018-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Yos Sudarso Blok B8 No.1,Kebon Bawang,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2018-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Otista Raya,Bidara Cina,Jatinegara, Kota Administrasi Jakarta Timur,0,0,,
2018-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Pulau Pari,Pulau Pari,Kep. Seribu Selatan, Kota Administrasi Jakarta Utara,0,0,,
2018-01-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Lubang Buaya,Lubang Buaya,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2018-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Gedung Moratelindo, Jl. Penataran No.9",Pegangsaan ,Menteng, Kota Administrasi Jakarta Pusat,0,100000000,,
2018-01-01,Penyelamatan,Bencana Bangunan Runtuh (operasi penyelamatan Collapse Structure).,Petugas Pemadam,Jl. Bukit Duri Selatan,Bukit Duri,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
